,Month,Forecast,Lower CI,Upper CI
0,2024-11-01,1062.2418354528188,1058.8903663125998,1065.5933045930378
1,2024-12-01,1085.9052313222335,1078.7674006080526,1093.0430620364143
2,2025-01-01,1108.151146543742,1097.0303261519587,1119.2719669355254
3,2025-02-01,1131.3907161159304,1116.2945327689486,1146.4868994629123
4,2025-03-01,1157.1169001523892,1137.921904623786,1176.3118956809924
5,2025-04-01,1185.0489738443646,1161.3255186434483,1208.772429045281
6,2025-05-01,1213.5180078404064,1184.5624565322644,1242.4735591485485
7,2025-06-01,1240.7018713871855,1205.743249473462,1275.6604933009091
8,2025-07-01,1265.8163719722113,1224.2599996086058,1307.3727443358168
9,2025-08-01,1289.5004949106847,1241.0395332575933,1337.961456563776
10,2025-09-01,1313.2406521322166,1257.7818278057837,1368.6994764586495
11,2025-10-01,1338.3156295749145,1275.8038343990727,1400.8274247507563
